emd_cd,emd_eng_nm,법정구명,emd_kor_nm,val1
11110101,Cheongun-dong, 종로구,청운동,15
11110102,Singyo-dong, 종로구,신교동,467
11110103,Gungjeong-dong, 종로구,궁정동,222
11110104,Hyoja-dong, 종로구,효자동,227
11110105,Changseong-dong, 종로구,창성동,240
11110106,Tongui-dong, 종로구,통의동,245
11110107,Jeokseon-dong, 종로구,적선동,248
11110108,Tongin-dong, 종로구,통인동,431
11110109,Nusang-dong, 종로구,누상동,16
11110110,Nuha-dong, 종로구,누하동,17
11110111,Ogin-dong, 종로구,옥인동,18
11110112,Chebu-dong, 종로구,체부동,20
11110113,Pirun-dong, 종로구,필운동,21
11110114,Naeja-dong, 종로구,내자동,435
11110115,Sajik-dong, 종로구,사직동,22
11110116,Doryeom-dong, 종로구,도렴동,443
11110117,Dangju-dong, 종로구,당주동,157
11110118,Naesu-dong, 종로구,내수동,162
11110119,Sejongno, 종로구,세종로,164
11110120,Sinmunno 1(il)-ga, 종로구,신문로1가,23
11110121,Sinmunno 2(i)-ga, 종로구,신문로2가,24
11110122,Cheongjin-dong, 종로구,청진동,25
11110123,Seorin-dong, 종로구,서린동,474
11110124,Susong-dong, 종로구,수송동,26
11110125,Junghak-dong, 종로구,중학동,27
11110126,Jongno 1(il)-ga, 종로구,종로1가,28
11110127,Gongpyeong-dong, 종로구,공평동,475
11110128,Gwanhun-dong, 종로구,관훈동,29
11110129,Gyeonji-dong, 종로구,견지동,31
11110130,Waryong-dong, 종로구,와룡동,32
11110131,Gwonnong-dong, 종로구,권농동,34
11110132,Unni-dong, 종로구,운니동,35
11110133,Ikseon-dong, 종로구,익선동,36
11110134,Gyeongun-dong, 종로구,경운동,19
11110135,Gwancheol-dong, 종로구,관철동,30
11110136,Insa-dong, 종로구,인사동,37
11110137,Nagwon-dong, 종로구,낙원동,38
11110138,Jongno 2(i)-ga, 종로구,종로2가,33
11110139,Palpan-dong, 종로구,팔판동,196
11110140,Samcheong-dong, 종로구,삼청동,39
11110141,Anguk-dong, 종로구,안국동,13
11110142,Sogyeok-dong, 종로구,소격동,14
11110143,Hwa-dong, 종로구,화동,466
11110144,Sagan-dong, 종로구,사간동,471
11110145,Songhyeon-dong, 종로구,송현동,472
11110146,Gahoe-dong, 종로구,가회동,40
11110147,Jae-dong, 종로구,재동,41
11110148,Gye-dong, 종로구,계동,43
11110149,Wonseo-dong, 종로구,원서동,44
11110150,Hunjeong-dong, 종로구,훈정동,46
11110151,Myo-dong, 종로구,묘동,47
